CategoryID,Category Path
105848,Business > Postage Stamps
163497,Business > Printing Equipment > Cutters
163498,Business > Printing Equipment > Plotters
163499,Business > Printing Equipment > Rolls
3180,Business > Printing Equipment > Other
50936,Business > Restaurant & Food Service > Clothing > Aprons
50938,Business > Restaurant & Food Service > Clothing > Hats
163486,Business > Restaurant & Food Service > Clothing > Jackets
121274,Business > Restaurant & Food Service > Clothing > Pants
11885,Business > Restaurant & Food Service > Clothing > Other
57070,"Business > Restaurant & Food Service > Coffee, Tea Equipment > Coffee Roasters"
53187,"Business > Restaurant & Food Service > Coffee, Tea Equipment > Coffee Machines"
53305,"Business > Restaurant & Food Service > Coffee, Tea Equipment > Grinders"
53188,"Business > Restaurant & Food Service > Coffee, Tea Equipment > Tea Equipment"
170657,Business > Restaurant & Food Service > Coffee Accessories > Paper Cups
163492,Business > Restaurant & Food Service > Coffee Accessories > Tampers
105832,Business > Restaurant & Food Service > Coffee Accessories > Other
11887,Business > Restaurant & Food Service > Tabletop & Serving > Dinnerware
25382,Business > Restaurant & Food Service > Tabletop & Serving > Disposables
11879,Business > Restaurant & Food Service > Tabletop & Serving > Flatware
11884,Business > Restaurant & Food Service > Tabletop & Serving > Glassware
25386,Business > Restaurant & Food Service > Tabletop & Serving > Linens
25387,Business > Restaurant & Food Service > Tabletop & Serving > Tabletop Accessories
25388,Business > Restaurant & Food Service > Tabletop & Serving > Other
57098,Business > Restaurant & Food Service > Décor
105835,"Business > Restaurant & Food Service > Displays, Warmers > Displays, Bain Maries"
57081,"Business > Restaurant & Food Service > Displays, Warmers > Rotisseries"
163495,"Business > Restaurant & Food Service > Displays, Warmers > Warmers"
105838,"Business > Restaurant & Food Service > Displays, Warmers > Other"
170650,Business > Restaurant & Food Service > Furniture > Combos
166673,Business > Restaurant & Food Service > Furniture > Menu Boards
67172,Business > Restaurant & Food Service > Furniture > Seats
166674,Business > Restaurant & Food Service > Furniture > Sign Holders
11883,Business > Restaurant & Food Service > Furniture > Tables
57096,Business > Restaurant & Food Service > Furniture > Other
95072,Business > Restaurant & Food Service > Kitchen Equipment > Baking Equipment
57107,Business > Restaurant & Food Service > Kitchen Equipment > Dishwashers
